# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
たかもり	高森
たかやなぎ	高柳
たかやま	高山
たかゆか	高床
たかゆき	高行
たから	宝
たからぎ	宝来
たからくじ	宝くじ
たからもの	宝もの
たが	多賀
たがい	互い
たがく	多額
たがわ	田川
たき	滝,多岐,瀧
たきかわ	滝川
たきがわ	滝川
たきぎ	薪
たきざわ	滝沢
たきしま	滝島
たきだし	炊き出し
たきにし	滝西
たきび	焚き火
たく	宅,卓,託,拓
たくえつ	卓越
たくじょう	卓上
たくち	宅地
たくとう	沢東
たくない	宅内
たくはい	宅配
たくぼく	啄木
たくみ	匠,巧,拓海,工
たくや	卓也,拓也
たくわえ	蓄え
たぐち	田口
たけ	丈,竹,武,茸,嶽,岳
たけい	武井
たけうち	竹内,武内
たけおか	竹岡
たけざき	竹崎
たけし	武,壮,猛,武司,威,剛史
たけした	竹下
たけしま	竹島
たけだ	武田,竹田
たけなか	竹中
たけのこ	竹の子
たけのつか	竹の塚
たけひろ	雄大
たけべ	武部
たけむら	竹村
たけや	多慶屋
たけやぶ	竹薮
たけやり	竹槍
たげん	多言
たこう	多幸,他校
たこうしき	多項式
たこく	他国,多国
たこやき	たこ焼き
たごん	他言
たさい	多彩
たさん	多産
たざわこ	田沢湖
たしか	確か
たしざん	足し算
たしゃ	他社,他者
たしゅ	多種
たしょう	多少
たしろ	田代
たじげん	多次元
たじま	田島
たじゅう	多重
たじり	田尻
たすうけつ	多数決
たすき	襷
たすけ	助け
たすけぶね	助け船
たそがれ	黄昏
たたかい	戦い
たたきだい	叩き台,たたき台
たたみ	畳
たたら	多田羅
ただ	唯
ただい	多大
ただいま	ただ今
ただし	直,正,規,端,質,董
ただしがき	但し書き
ただもの	ただ者
ただよし	忠吉
ただん	多段
たち	立ち
たちあい	立ち会い,立会
たちあいがわ	立会川
たちあがり	立ち上がり
たちおうじょう	立ち往生
たちかわ	立川
たちぐい	立食い
たちしょん	立ちション
たちなおり	立ち直り
たちば	立場
たちばなし	立ち話
たちまちみさき	立待岬
たちまわり	立ち回り
たちみ	立ち見
たちよみ	立ち読み
たっきゅう	卓球
たっきゅうびん	宅急便
たっしゃ	達者
たっせい	達成
たっぴつ	達筆
たつ	立
たつお	龍生,達郎,辰夫
たつかわ	立川
たつじん	達人
たつせ	立つ瀬
たつた	竜田
たつまき	竜巻
たつみ	巽,辰巳,辰己
たつや	龍也,達也
たて	縦,盾,竪
たていと	縦糸
たてうち	館内
たてかえ	建て替え
たてかえばらい	立て替え払い
たてつけ	立て付け
たてつづけ	立て続け
たてなおし	立て直し
たてなが	縦長
たてまえ	建前
たてまち	立町
たてもの	建物
たてやくしゃ	立役者
たてやま	館山
たどうし	他動詞
たどころ	田所
たな	棚
たなおろし	棚卸
たなか	田中
たなこ	店子
たなし	田無
たなばた	七夕
たなべ	田邉,田辺
たなん	多難
たに	谷
たにぐち	谷口
たにま	谷間
たにやま	谷山
たにん	他人
たぬき	狸
たね	種
たねあかし	種明かし
たねいち	種市
たねむら	種村
たのしみ	楽しみ
たのみ	頼み
たはた	田畑
たはつ	多発
たはら	田原
たば	束
たばこ	煙草
たばた	田端,田畑
たび	旅,足袋
たびさき	旅先
たびだち	旅立ち
たびびと	旅人
たぶん	多分
たべい	田部井
たべごろ	食べ頃,食べごろ
たべもの	食べ物,食べもの
たべん	多弁
たぼう	多忙
たま	玉,多摩,球,田間,弾
たまい	玉井
たまうんそう	多摩運送
たまがわ	玉川,多摩川
たまがわじょうすい	玉川上水
たまき	環,玉置
たまぐし	玉串
たまこせん	多摩湖線
たまご	卵,玉子
たまごやき	卵焼き
たまさかい	多摩境
たまざわ	玉澤
たましい	魂
たまち	田町
たまちえき	田町駅
たまつき	玉突き
たまねぎ	玉葱,玉ねぎ
たまもの	賜
たまもり	玉森
たまや	玉屋
たまり	溜り,溜
たまる	田丸
たむら	田村
ためいき	ため息,溜息
ためいけ	溜池
ためし	試し
ためん	多面
たもがみ	田母神
たもく	多目
たもくてき	多目的
たもと	田本
たよう	多様,多用
たより	頼り,便り
たら	鱈,太良
たる	樽
たるまえやま	樽前山
たれ	垂れ
たれながし	垂れ流し
たろいも	タロ芋
たろう	太朗,太郎
たわら	俵
たわらや	俵谷
たん	痰,短,単,反,丹
たんい	単位
たんいつ	単一
たんおん	単音
たんか	単価,短歌,担架,啖呵
たんき	短期
たんきかん	短期間
たんきゅう	探求,探究
たんけん	探検
たんげ	丹下
たんこう	単行
たんこうぼん	単行本
たんご	単語
たんさく	探索
たんさん	炭酸
たんざく	短冊
たんし	端子
たんしゅく	短縮
たんしょ	短所
たんしょく	単色
たんじ	丹治
たんじゅう	胆汁
たんじゅん	単純
たんじょう	誕生
たんじょうせき	誕生石
たんす	箪笥
たんすいかぶつ	炭水化物
たんすう	単数
たんせい	端整
たんせき	胆石
たんせん	単線
たんぜん	丹前
たんたい	単体
たんたいてすと	単体テスト
たんだい	短大
たんち	探知
たんちょう	単調,短調
たんてい	探偵
たんてき	端的
たんてん	端点
たんとう	担当
たんどく	単独
たんにん	担任
たんの	丹野
たんのう	堪能,胆嚢
たんば	丹波
たんばぐち	丹波口
たんばばし	丹波橋
たんぱく	蛋白
たんぱくしつ	タンパク質
たんぱつ	単発
たんぱん	短パン
たんぴん	単品
たんぶん	短文
たんぺん	短編
たんぼ	田んぼ
たんぽ	担保
たんまち	反町
たんまつ	端末
たんめん	湯麺
たんらく	短絡
だ	打
だい	大,題,台,代
だいあん	代案
だいいちぎ	第一義
だいいちせいめい	第一生命
だいいちにんしゃ	第一人者
だいいちほてる	第一ホテル
だいいっせい	第一声
だいいっせん	第一線
だいいっぽ	第一歩
だいおう	大王
だいがく	大学
だいがくいん	大学院
だいがくいんせい	大学院生
だいがくせい	大学生
だいがくまえ	大学前
だいき	大樹
だいきち	大吉
だいきゅう	代休
だいきらい	大嫌い
だいきん	代金
だいぎ	大喜
だいく	大工
だいこう	代行
だいこく	大黒
だいこくさま	大黒様
だいこくばしら	大黒柱
だいこん	大根
だいこんおろし	大根おろし
だいごみ	醍醐味
だいさく	大作
だいさんしゃ	第三者
だいざ	台座
だいざい	題材
だいし	台詞,台紙
だいしゃ	台車
だいしょう	大小,代償
だいじ	大事
だいじょう	大乗
だいじょうぶ	大丈夫
だいじん	大臣,大神
だいじんぐう	大神宮
だいすう	代数,台数
だいすき	大好き
だいすけ	大輔,大介
だいず	大豆
だいたい	代替,大腿
だいたくぼ	太田窪
だいたん	大胆
だいだ	代打
だいだい	橙
だいだいいろ	橙色
だいだいてき	大々的
だいだんえん	大団円
だいち	大地
だいちょう	大腸,台帳
だいつう	大通
だいとう	大東
だいとうけんたく	大東建託
だいとうりょう	大統領
だいとし	大都市
だいどう	大同
だいどうげい	大道芸
だいどころ	台所
だいなし	台無し
だいにゅう	代入
だいのした	台の下
だいはっけん	大発見
だいば	台場
だいばらい	代払い
だいひつ	代筆
だいひょう	代表
だいふく	大福
だいぶつ	大仏
だいほん	台本
だいまる	大丸
だいみょうじん	大明神
だいめい	題名
だいめいし	代名詞
だいもく	題目
だいもんじ	大文字
だいやく	代役
だいよう	代用
だいり	代理
だいりせき	大理石
だいろっかん	第六感
だいわしょうけん	大和証券
だいわぼうじょうほうしすてむ	ダイワボウ情報システム
だえき	唾液
だえん	だ円
だかい	打開
だがし	駄菓子
だきょう	妥協
だくてん	濁点
だけつ	妥結
だけん	打鍵
ださん	打算
だざい	太宰
だざいふ	太宰府
だざいふてんまんぐう	太宰府天満宮
だし	出汁,出し
だしいれ	出し入れ
だしじる	だし汁
だしもの	出し物
だしゃ	打者
だしん	打診
だせい	惰性
だそく	蛇足
だたい	堕胎
だちん	駄賃
だっ	脱
だっかん	奪還
だっきゃく	脱却
だっきゅう	脱臼
だっしふんにゅう	脱脂粉乳
だっしゅ	奪取
だっしゅつ	脱出
だっすい	脱水
だっせん	脱線
だっそう	脱走
だったい	脱退
だつい	脱衣
だつごく	脱獄
だつぜい	脱税
だつもう	脱毛
だつらく	脱落
だつりょく	脱力
だて	伊達,立て
だとう	妥当
だは	打破
だぼく	打撲
だましうち	だまし討
だめ	駄目
だめおし	駄目押し
だらく	堕落
だらに	陀羅尼
だるま	達磨
だれか	誰か
だん	段,断,談,暖,団,壇,檀,弾
だんあつ	弾圧
だんう	弾雨
だんかい	段階,団塊
だんがん	弾丸
だんけつ	団結
だんげん	断言
だんご	団子
だんごうざか	談合坂
だんさ	段差
だんざい	断罪
だんし	男子
だんしこう	男子校
だんしょう	談笑
だんしょく	暖色
だんじ	男児
だんじき	断食
だんじょ	男女
だんじょう	壇上
だんすい	断水
だんすう	段数
だんせい	男性,男声,弾性
だんせん	断線
だんそう	断層,男装
だんぞく	断続
だんたい	団体
だんだん	段々
だんち	団地
だんちょう	団長
だんてい	断定
だんとつ	断トツ
だんどう	弾道
だんどり	段取り
だんな	旦那
だんねつ	断熱
だんねん	断念
だんぺん	断片
だんぼう	暖房
だんらく	段落
だんりょく	弾力
だんろ	暖炉
だんわ	談話
ち	血,知,地,治
ちあき	千秋
ちあん	治安
ちい	地位
ちいき	地域,値域
ちいさめ	小さめ
ちえ	知恵
ちえぶくろ	知恵袋
ちえん	遅延
ちか	地下,知夏,地価
ちかがい	地下街
ちかく	知覚
ちかてつ	地下鉄
ちかどう	地下道
ちかみ	千頭
ちかみち	近道
ちから	力
ちからぞえ	力添え
ちからぶそく	力不足
ちからわざ	力業
ちかん	置換,痴漢
ちがい	違い
ちがさき	茅ヶ崎
ちきゅう	地球
ちきゅうぎ	地球儀
ちぎり	契
ちぎん	地銀
ちく	地区,築
ちくさん	畜産
ちくしの	筑紫野
ちくせき	蓄積
ちくでん	蓄電
ちくでんち	蓄電池
ちくび	乳首
ちくりん	竹林
ちけい	地形
ちけん	知見,地権
ちこう	遅効
ちこく	遅刻
ちご	稚児
ちさ	智佐
ちし	致死
ちしき	知識
ちじょう	地上,痴情
ちじょうしょく	地上職
ちじん	知人
ちすじ	血筋
ちず	地図
ちせい	知性
ちせつ	稚拙
ちそう	馳走
ちたい	地帯,遅滞
ちち	父,乳
ちちうえ	父上
ちちおや	父親
ちちかた	父方
ちちはは	父母
ちちぶ	秩父
ちちぶてつどう	秩父鉄道
ちぢみ	縮
ちっこう	築港
ちっそ	窒素
ちっそく	窒息
ちつ	膣
ちつじょ	秩序
ちづる	千鶴
ちてき	知的
ちてん	地点
ちとせ	千歳,千登世
ちとせくうこう	千歳空港
ちどりあし	千鳥足
ちなつ	千夏
ちの	茅野
ちのう	知能
ちのうしすう	知能指数
ちのけ	血の気
ちはい	遅配
ちはや	千早
ちば	千葉
ちばだい	千葉大
ちばだいがく	千葉大学
ちばん	地番
ちひろ	千尋
ちぶさ	乳房
ちへいせん	地平線
ちほう	地方,痴呆
ちほうぎんこう	地方銀行
ちほうじちたい	地方自治体
ちまつり	血祭り
ちめい	致命,地名
ちめいど	知名度
ちゃ	茶
ちゃいろ	茶色
ちゃがし	茶菓子
ちゃき	茶木
ちゃく	着
ちゃくい	着い,着衣
ちゃくしゅ	着手
ちゃくしゅつ	嫡出
ちゃくしょく	着色
ちゃくしん	着信
ちゃくじつ	着実
ちゃくすい	着水
ちゃくせき	着席
ちゃくそう	着想
ちゃくだつ	着脱
ちゃくだん	着弾
ちゃくち	着地
ちゃくにん	着任
ちゃくばらい	着払い
ちゃくめろ	着メロ
ちゃくもく	着目
ちゃくよう	着用
ちゃくりく	着陸
ちゃこし	茶漉
ちゃしつ	茶室
ちゃしぶ	茶渋
ちゃちゃ	茶々
ちゃっか	着火
ちゃっきん	着金
ちゃづけ	茶漬け,茶漬
ちゃのま	茶の間
ちゃばん	茶番
ちゃぱつ	茶髪
ちゃめ	茶目
ちゃや	茶屋
ちゃわん	茶碗
ちゃわんむし	茶碗蒸し
ちゅう	中,注,宙
ちゅうい	注意,中位
ちゅういほう	注意報
ちゅうおう	中央
ちゅうおうだい	中央大
ちゅうおうだいがく	中央大学
ちゅうおん	中温
ちゅうか	中華
ちゅうかい	仲介
ちゅうかく	中核
ちゅうかん	中間
ちゅうがい	中外
ちゅうがく	中学
ちゅうがくせい	中学生
ちゅうがた	中型
ちゅうがっこう	中学校
ちゅうき	中気
ちゅうきぼ	中規模
ちゅうきゅう	中級
ちゅうぎょう	中業
ちゅうけい	中継
ちゅうけん	中堅,中研
ちゅうげん	中元
ちゅうこ	中古
ちゅうこうしょく	昼光色
ちゅうこうせい	中高生
ちゅうこうねん	中高年
ちゅうこく	忠告
ちゅうごく	中国
ちゅうごくご	中国語
ちゅうごくじん	中国人
ちゅうごし	中腰
ちゅうさい	仲裁
ちゅうざ	中座
ちゅうざい	駐在
ちゅうざん	中山
ちゅうし	中止,注視
ちゅうしゃ	駐車,注射
ちゅうしゃく	注釈
ちゅうしゅう	中秋
ちゅうしゅつ	抽出
ちゅうしょう	抽象,中傷,中小
ちゅうしょく	昼食
ちゅうしょじま	中書島
ちゅうしん	中心
ちゅうじえん	中耳炎
ちゅうじつ	忠実
ちゅうすう	中枢
ちゅうせい	中性,中世
ちゅうせん	抽選
ちゅうぜつ	中絶
ちゅうそつ	中卒
ちゅうたい	中退
ちゅうだい	中大
ちゅうだん	中断,中段
ちゅうちょ	躊躇
ちゅうちょうき	中長期
ちゅうづり	宙吊り
ちゅうてん	中点
ちゅうと	中途
ちゅうとう	中東,中等
ちゅうとはんぱ	中途半端
ちゅうどう	中道
ちゅうどうじぼうじょう	中堂寺坊城
ちゅうどく	中毒
ちゅうにゅう	注入
ちゅうねん	中年
ちゅうばち	中鉢
ちゅうび	中火
ちゅうふく	中腹
ちゅうぶ	中部
ちゅうぶでんりょく	中部電力
ちゅうぶらりん	宙ぶらりん
ちゅうぼう	厨房
ちゅうもく	注目
ちゅうもん	注文
ちゅうや	昼夜
ちゅうりつ	中立
ちゅうりゃく	中略
ちゅうりゅう	中流
ちゅうりょく	注力
ちゅうりんじょう	駐輪場
ちゅうわ	中和
ちゆ	治癒
ちょう	蝶,張,腸,長,朝,庁
ちょうあい	寵愛
ちょうえつ	超越
ちょうおん	聴音
ちょうか	超過,朝家
ちょうかい	懲戒,町会,朝会
ちょうかく	聴覚
ちょうかん	腸管,朝刊
ちょうき	長期
ちょうきょう	調教
ちょうきょり	長距離
ちょうきん	超勤
ちょうぎかい	町議会
ちょうけい	長兄
ちょうこう	兆候,聴講,長講
ちょうこくのもり	彫刻の森
ちょうごう	調合
ちょうさ	調査
ちょうざい	調剤
ちょうし	調子,銚子
ちょうしゃ	庁舎
ちょうしゅ	聴取
ちょうしゅう	徴収
ちょうしゅん	長春
ちょうしょ	調書,長所
ちょうしょく	朝食
ちょうしん	聴診
ちょうじゃ	長者
ちょうじゅ	長寿
ちょうじょ	長女
ちょうじょう	頂上,重畳
ちょうじり	帳尻
ちょうず	手水
ちょうせい	調整,長生
ちょうせつ	調節
ちょうせん	挑戦,朝鮮
ちょうせんはんとう	朝鮮半島
ちょうぜつ	超絶
ちょうそん	町村
ちょうたつ	調達
ちょうだ	長蛇
ちょうだい	頂戴
ちょうてい	調停
ちょうてん	頂点
ちょうど	調度,丁度
ちょうない	町内
ちょうなん	長男
ちょうはつ	長髪,挑発
ちょうひょう	帳票
ちょうふ	調布,貼付
ちょうぶん	長文
ちょうへい	徴兵
ちょうへいそく	腸閉塞
ちょうへん	長編
ちょうほう	重宝,諜報
ちょうほうけい	長方形
ちょうほんにん	張本人
ちょうぼ	帳簿
ちょうぼう	眺望
ちょうみ	調味
ちょうみん	町民
ちょうもん	弔問
ちょうらい	朝来
ちょうり	調理
ちょうりつ	町立
ちょうりば	調理場
ちょうりゅう	潮流
ちょうりょく	聴力
ちょうれい	朝礼
ちょうろう	長老
ちょうわ	調和
ちょきん	貯金
ちょくえいてん	直営店
ちょくげき	直撃
ちょくし	直視
ちょくしゃ	直射
ちょくしん	直進
ちょくせつあくせす	直接アクセス
ちょくせつてき	直接的
ちょくせん	直線
ちょくぜん	直前
ちょくそう	直送
ちょくぞく	直属
ちょくつう	直通
ちょくはん	直販
ちょくばい	直売
ちょくほうたい	直方体
ちょくめん	直面
ちょくりゅう	直流
ちょくれつ	直列
ちょこ	猪口
ちょさく	著作
ちょしゃ	著者
ちょすい	貯水
ちょちく	貯蓄
ちょっか	直下
ちょっかん	直感
ちょっきゅう	直球
ちょっきん	直近
ちょっけい	直径,直系
ちょっけつ	直結
ちょっこう	直行,直交
ちょめい	著名
ちょん	全
ちよ	千代
ちよだ	千代田
ちよまる	千代丸
ちり	地理
ちりぢり	散り散り
ちりょう	治療
ちりょく	知力
ちわげんか	痴話喧嘩
ちん	珍,亭,陳
ちんあげ	賃上げ
ちんか	鎮火
ちんぎん	賃金
ちんざ	鎮座
ちんざんそう	椿山荘
ちんじゅ	鎮守
ちんせい	鎮静,沈静
ちんたい	賃貸
ちんたお	青島
ちんつう	鎮痛
ちんぼつ	沈没
ちんもく	沈黙
ちんれつ	陳列
つ	津
ついおく	追憶
ついか	追加
ついかんばん	椎間板
ついき	追記
ついきゅう	追求
ついげき	追撃
ついし	追試
ついしょう	追従
ついしん	追伸
ついずい	追随
ついせき	追跡
ついとう	追悼
ついとつ	追突
ついにん	追認
ついほう	追放
ついらく	墜落
つう	通
つういん	通院
つうか	通過,通貨
つうかん	痛感,通関
つうがく	通学
つうき	通気
つうきん	通勤
つうこう	通行
つうこうどめ	通行止め
つうこうにん	通行人
つうこく	通告
つうさん	通算
つうしょ	通所
つうしょう	通称
つうしん	通信
つうじ	通じ
つうじょう	通常
つうたつ	通達
つうち	通知
つうちょう	通牒
つうてん	痛点
つうてんかく	通天閣
つうでん	通電
つうねん	通年
つうはん	通販
つうふう	痛風
つうほう	通報
つうやく	通訳
つうよう	通用
つうろ	通路
つうわ	通話
つえ	杖
つか	塚
つかい	使い,遣い
つかいかた	使い方
つかいがって	使い勝手
つかいすて	使い捨て
つかいみち	使い道
つかいもの	使い物,使いもの
つかいわけ	使い分け
つかさ	司
つかだ	塚田
つかのま	束の間
つかもと	塚本
つかれ	疲れ
つがる	津軽
つがるかいきょう	津軽海峡
つき	月,付き,突き
つきあい	付き合い
つきざき	月崎
つきしま	月島
つきじ	築地
つきそい	付き添い
つきづき	月々
つきなみ	月並み
つきのもの	月のもの
つきばらい	月払い
つきひ	月日
つきみ	月見
つきみそう	月見草
つきやま	築山
つきゆび	突き指
つきよ	月夜
つきわり	月割
つぎ	次,継,継ぎ
つくえ	机
つくし	筑紫
つくだに	佃煮
つくば	筑波
つくばだい	筑波大
つくも	九十九
つくり	作り,造り
つくりかた	作り方
つくりたて	作りたて
つくりばなし	作り話
つくりもの	作り物
つけ	付け,付,漬け
つけかた	付け方
つけたり	附
つけね	付け根
つけもの	漬物
つげ	告
つげぐち	告げ口
つごう	都合
つしま	対馬,對馬
つじ	辻
つじい	辻井
つじぎみ	辻君
つじつま	辻褄
つじどう	辻堂
つだ	津田
つだぬま	津田沼
つち	槌
つちうら	土浦
つちざき	土崎
つちふまず	土踏まず
つちぼこり	土埃
つちや	土屋
つっこみ	突っ込み
つつ	筒
つつぬけ	筒抜け
つつみ	堤,包,包み
つづき	続き
つづり	綴り
つて	伝,伝手
つとむ	務,勉,勤,努,任
つとめ	勤め
つとめさき	勤め先
つど	都度
つどい	集い
つな	綱
つながり	繋がり
つなぎ	繋,繋ぎ
つなぎめ	つなぎ目
つなじま	綱島
つなひき	綱引き
つなみ	津波
つね	常
つねお	恒雄,恒夫
つねづね	常々
つねまつ	恒松
つのだ	角田
つば	鍔
つばき	椿
つばさ	翼
つばめ	燕
つぶ	粒
つぶし	潰し
つぶせ	拓
つぶら	円
つぼ	壺
つぼね	局
つぼはち	つぼ八
つぼみ	蕾
つぼやき	つぼ焼き
つま	妻,褄
つまさき	爪先
つまみ	摘み
つまり	詰まり
つみ	罪
つみかさね	積み重ね
つみき	積木
つみこみ	積み込み
つみたて	積立
つみほろぼし	罪滅ぼし
つみまし	積み増し
つめ	爪,詰め,詰
つめあわせ	詰め合わせ
つめえり	詰め襟
つめなおし	詰め直し
つもり	積り
つや	通夜,艶
つゆ	梅雨
つゆいり	梅雨入り
つゆさき	露崎
つよき	強気
つよし	強,剛,雄
つよび	強火
つよみ	強み
つらがまえ	面構え
つり	釣り
つりかわ	吊革
つりばし	吊り橋
つる	鶴,弦
つるおか	鶴岡
つるし	吊し
つるぬま	鶴沼
つるまき	鶴巻
つるもと	鶴本
つるや	鶴屋
つれ	連れ
つれこ	連れ子
つれづれ	徒然
つわもの	強者
つわり	悪阻
つんぼ	聾
づけい	図形
て	手
てあし	手足
てあて	手当
てあみ	手編み
てあらい	手洗い
てい	訂,挺
ていあん	提案
ていい	低位
ていいん	定員
ていえん	庭園
ていおん	低音,低温
ていか	低下,定価
ていかん	定款
ていがく	定額,停学
ていき	定期,提起
ていきゅう	定休
ていきょう	提供
ていきょうだい	帝京大
ていきょうだいがく	帝京大学
ていぎ	定義
ていくう	低空
ていけい	定型,提携,定形
ていけつ	締結
ていげん	低減
ていこう	抵抗
ていこく	定刻,帝国
ていこくせきゆ	帝国石油
ていこくほてる	帝国ホテル
ていさい	体裁
ていし	停止
ていしき	定式
ていしゃ	停車
ていしゃえき	停車駅
ていしゅつ	提出
ていしょう	提唱
ていしょく	定食,抵触
ていしん	逓信
ていじ	提示,定時
ていじゅう	定住
ていじょう	定常
ていじん	帝人
ていすう	定数
ていせい	訂正
ていせつ	貞節
ていそく	低速
ていたい	停滞
ていたく	邸宅
ていちゃく	定着
ていちょう	丁重
ていでん	停電
ていど	程度
ていね	手稲
ていねい	丁寧
ていねほん	手稲本
ていねやま	手稲山
ていねん	定年
ていばん	定番
ていひょう	定評
ていへん	底辺
ていぼう	堤防
ていめん	底面
ていり	定理
ていりゅうじょ	停留所
ていりょう	定量
ていれ	手入れ
ていれい	定例
ていれん	低廉
てうち	手打ち
ておくれ	手遅れ
てがかり	手掛かり
てがき	手書き,手描き
てがた	手形
てがみ	手紙
てがる	手軽
てき	敵,適
てきい	敵意
てきおう	適応
てきおん	適温
てきかく	的確
てきごう	適合
てきし	敵視
てきしゅう	敵襲
てきしゅつ	摘出
てきじ	適時
てきせい	適性,適正
てきせつ	適切
てきたい	敵対
てきちゅう	的中
てきとう	適当
てきど	適度
てきはつ	摘発
てきめん	覿面
てきやく	適役
てきよう	適用
てきりょう	適量
てきれい	適齢
てぎわ	手際
てくせ	手癖
てくび	手首
てぐり	手繰り
てこいれ	テコ入れ
てごたえ	手応え
てごろ	手頃
てさぎょう	手作業
てさぐり	手探り
てさげ	手提げ,手提
てざわり	手触り
てしお	手塩
てした	手下
てじゅん	手順
てすう	手数
てすうりょう	手数料
てすき	手隙
てすり	手すり
てせい	手製
てだし	手出し,手だし
てだて	手だて
てちがい	手違い
てちょう	手帳
てっか	鉄火
てっかい	撤回
てっきょ	撤去
てっきょう	鉄橋
てっきん	鉄筋
てっけん	鉄拳
てっこう	鉄鋼
てっしゅう	撤収
てっそく	鉄則
てったい	撤退
てっつい	鉄槌
てってい	徹底
てっていてき	徹底的
てっぱん	鉄板
てっぱんやき	鉄板焼
てっぺい	鉄平
てっぺん	天辺
てっぽう	鉄砲
てつ	鉄,鐵
てつかず	手つかず
てつがく	哲学
てつき	手つき,手付き
てつけ	手付
てつこ	徹子
てつごうし	鉄格子
てつじん	鉄人
てつたろう	哲太郎
てつだい	手伝い
てつづき	手続き,手続
てつどう	鉄道
てつびん	鉄瓶
てつぶん	鉄分
てつまん	徹マン
てつや	徹夜,哲哉,哲也
てつろ	鉄路
てづくり	手作り
てどり	手取り,手取
てなおし	手直し
てにもつ	手荷物
てぬき	手抜き
てのうち	手の内
てのこう	手の甲
てのひら	掌,手のひら
てはい	手配
てはじめ	手始め
てはず	手筈
てば	手羽
てびょうし	手拍子
てぶくろ	手袋
てぶら	手ぶら
てほん	手本
てま	手間
てまえ	手前
てまねき	手招き
てまり	手まり
てみじか	手短
てみやげ	手土産,手みやげ
てもち	手持ち
てもちぶさた	手持ち無沙汰
てもと	手元
てら	寺
てらかど	寺門
てらだ	寺田
てらもと	寺本
てり	照り
てりょうり	手料理
てる	輝
てるあき	照明
てれ	照れ
てれかくし	照れ隠し
てれびあさひ	テレビ朝日
てれびきょく	テレビ局
てれびとう	テレビ塔
てれびとうきょう	テレビ東京
てわけ	手分け
てわたし	手渡し
てん	天,点,転,典
てんい	転移
てんいん	店員,転院
てんか	天下,転嫁,添加,転訛,転か,点火
てんかい	展開
てんかいっぴん	天下一品
てんかん	転換
てんかんき	転換期
てんがい	天蓋
てんがん	点眼
てんき	天気,転記
てんきょ	転居
てんきん	転勤
てんくう	天空
てんぐ	天狗
てんけい	典型
てんけん	点検
てんこ	点呼
てんこう	転校,転向,天候
てんこうせい	転校生
てんごく	天国
てんさい	天才,転載,天災
てんさく	添削
てんし	天使,展し
てんしゃ	転写
てんしゅ	店主
てんしゅかく	天守閣
てんしゅつ	転出
てんしゅどう	天主堂
てんしょく	転職,天職
てんしんはん	天津飯
てんじ	展示,点字
てんじょう	天井
てんじん	天神
てんじんばし	天神橋
てんじんまえ	天神前
てんすう	点数
てんせい	転生
てんせき	転籍
てんそう	転送
てんたい	天体
てんち	転置,天地
てんちじん	天地人
てんちょう	店長,天頂
てんつゆ	天つゆ
てんてき	点滴
てんてん	転々,点々
てんとう	点灯,転倒,店頭
てんどん	天丼
てんない	店内
てんにゅう	転入
てんにゅうせい	転入生
てんねん	天然
てんのう	天皇,天王
てんのうじ	天王寺
てんのうだい	天王台
てんのうへいか	天皇陛下
てんのうりょう	天皇陵
てんばい	転売
てんびき	天引き
てんびょう	点描
てんびん	天秤
てんぷ	添付
てんぷら	天ぷら,天麩羅
てんぼう	展望
てんぽ	店舗
てんま	天魔,天満,伝馬
てんまつ	顛末
てんまど	天窓
てんまん	天満
てんまんぐう	天満宮
てんめい	店名
てんめつ	点滅
てんもく	天目
てんもん	天文
てんよう	転用
てんらく	転落
てんらん	展覧
であい	出会い
でいすい	泥酔
でいり	出入り
でいりぐち	出入口
でかせぎ	出稼ぎ
でかた	出方
でき	出来
できあい	出来合い,溺愛
できごと	出来事
できだか	出来高
できばえ	出来栄え,出来映え
できぶつ	出来物
でぐち	出口
でさき	出先
でし	弟子
でしろ	出城
でじたるぎじゅつ	デジタル技術
でだし	出だし
でなおし	出直し
でばん	出番
でぶしょう	出不精
でまえ	出前
でまど	出窓
でむかえ	出迎え
でもどり	出戻り
でん	傅
でんあつ	電圧
でんい	電位
でんえん	田園
でんえんとしせん	田園都市線
でんか	電荷,電化,殿下,伝家
でんかい	電解
でんがく	田楽
でんき	電気,電機
でんきじぎょうれんごうかい	電気事業連合会
でんきゅう	電球
でんげん	電源
でんこう	電光
でんごん	伝言
でんし	電子
でんしゃ	電車
でんしん	電信
でんじ	電磁
でんじき	電磁気
でんじしゃく	電磁石
でんじょう	電場
でんせつ	伝説
でんせん	電線,伝染
でんそう	伝送,電装
でんたく	電卓
でんたつ	伝達
でんち	電池
でんちゅう	電柱
でんつう	電通
でんつうだい	電通大
でんてつ	電鉄
でんでん	電電
でんとう	電灯,伝統
でんどう	電動,伝導
でんのう	電脳
でんぱ	電波,伝播
でんぱん	伝搬
でんぴょう	伝票
でんぽう	電報
でんりゅう	電流
でんりょく	電力
でんわ	電話
でんわき	電話機
と	都,途,戸,徒
とい	問,問い
といあわせ	問い合わせ
といき	吐息
とう	当,糖,唐,登,投,塔,籐
とうあん	答案
とういつ	統一
とういつきょうかい	統一教会
とうえい	投影
とうおう	東欧
とうか	透過,投下,等価
とうかい	東海,倒壊
とうかいだい	東海大
とうかいどう	東海道
とうかいどうしんかんせん	東海道新幹線
とうかいりょかくてつどう	東海旅客鉄道
とうかく	頭角
とうかつ	統括
とうかん	投函,盗汗,当館
とうがい	当該
とうがねせん	東金線
