# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
いきつぎ	息継ぎ
いきつけ	行き付け,行きつけ
いきづかい	息づかい,息遣い
いきづまり	行き詰まり
いきとうごう	意気投合
いきぬき	息抜き
いきのこり	生き残り
いきもの	生き物
いきりょう	生霊
いきわかれ	生き別れ
いぎ	意義,異議
いぎょう	異形,偉業
いく	育
いくいな	生稲
いくお	郁夫
いくしま	生島
いくじ	育児
いくせい	育成
いくた	生田
いくど	幾度
いくみ	育美
いくよ	幾世
いぐすり	胃薬
いぐち	井口
いけ	池
いけい	畏敬,池井
いけうち	池内
いけがみ	池上
いけす	生け簀
いけだ	池田
いけどり	生け捕り
いけぶくろ	池袋
いけべ	池辺
いけみ	池見
いけん	意見
いげん	威厳
いこい	憩
いこう	移行,意向,威光
いこじ	意固地
いご	囲碁
いごこち	居心地
いさい	異彩,異才
いさお	徳
いさご	沙
いさむ	勇
いさり	漁り
いさん	遺産,胃酸
いざかや	居酒屋
いざき	井崎
いざよい	十六夜
いざわ	井沢
いし	石,医師,意思,意志
いしい	石井
いしかり	石狩
いしかりわん	石狩湾
いしかわ	石川
いしがき	石垣
いしがきじま	石垣島
いしき	意識
いしくら	石倉
いしぐろ	石黒
いしざき	石崎
いしたに	石谷
いしだ	石田
いしつ	異質
いしづ	石津
いしづか	石塚
いしづくり	石造り
いしのまき	石巻
いしはら	石原
いしばし	石橋
いしぶみ	碑
いしまる	石丸
いしみつ	石光
いしむら	石村
いしゃ	医者,慰謝
いしや	石屋
いしゅ	異種
いしゅう	異臭
いしゅく	萎縮
いしょう	衣装
いしょく	移植,異色
いしわた	石渡,石綿
いじ	維持,意地
いじゅう	移住
いじょう	異常,委譲,移譲
いじわる	意地悪
いじん	偉人
いす	椅子
いず	伊豆
いずみ	泉,和泉
いずみちゅうおう	泉中央
いずみちょう	泉町
いずみでら	泉寺
いずも	出雲
いずる	出
いせ	伊勢
いせい	異性,為政
いせき	遺跡,移籍
いせざき	伊勢崎
いせじんぐう	伊勢神宮
いせたん	伊勢丹
いせつ	移設
いそ	磯
いそう	位相
いそうろう	居候
いそぎ	急ぎ
いその	磯野
いぞく	遺族
いぞん	依存
いた	板
いたい	遺体,異体
いたがき	板垣
いたく	委託
いたしかた	致し方
いただき	頂
いたぶ	飯給
いたまえ	板前
いたみ	痛み
いたみわけ	痛み分け
いたり	至
いたりあせい	イタリア製
いたる	達
いだい	医大,偉大
いだいまえ	医大前
いち	位置,壱
いちい	一意
いちえん	一円
いちかわ	市川
いちがい	一概
いちがや	市ヶ谷,市ケ谷
いちがやた	市谷田
いちがやなかの	市谷仲之
いちがん	一眼,一丸
いちぐん	一軍
いちげい	一芸
いちげき	一撃
いちげん	一言
いちげんか	一元化
いちご	苺
いちごいちえ	一期一会
いちざ	一座
いちじつせんしゅう	一日千秋
いちじょ	一助
いちじょう	一条
いちじるし	一印
いちじんぶつ	一人物
いちぞく	一族
いちぞん	一存
いちたいいち	一対一
いちたいた	一対多
いちたろう	一太郎
いちだん	一段
いちだんらく	一段落
いちづけ	位置付け,位置づけ
いちどう	一同
いちにちじゅう	一日中
いちにん	一任
いちにんしょう	一人称
いちねん	一念
いちのくら	一ノ蔵
いちはら	市原
いちばんちょう	一番町
いちばんのり	一番乗り
いちぶぶん	一部分
いちぶん	一文
いちべつ	一瞥
いちほうこう	一方向
いちまいいわ	一枚岩
いちまつ	一抹
いちみ	一味
いちもく	一目
いちもくさん	一目散
いちもくりょうぜん	一目瞭然
いちもんじ	一文字
いちや	一夜
いちやす	一安
いちやづけ	一夜漬け
いちょう	胃腸,銀杏,移調
いちよう	一様
いちらん	一覧
いちり	一理
いちりつ	一律
いちりゅう	一柳,一流
いちりゅうまんばい	一粒万倍
いちりんざし	一輪挿し
いちれん	一連
いちろ	一路
いっ	逸
いっか	一家,一過
いっかい	一介
いっかく	一角
いっかつ	一括
いっかん	一貫,一環
いっき	一気
いっきいちゆう	一喜一憂
いっきゅう	一級
いっくい	飯喰
いっけん	一見,一軒
いっけんや	一軒家
いっこう	一行,一考
いっこだて	一戸建て
いっさ	一茶
いっしき	一式
いっしつ	一室
いっしゅ	一種
いっしゅう	一周,一蹴
いっしょ	一緒
いっしょうびん	一升瓶
いっしょく	一色
いっしょくそくはつ	一触即発
いっしん	一心,一身,一新
いっしんいったい	一進一退
いっしんじょう	一身上
いっしんふらん	一心不乱
いっすい	一睡
いっせい	一声
いっせいちだい	一世一代
いっせきにちょう	一石二鳥
いっせつ	一節,一説
いっそう	一掃
いったい	一体,一帯
いったいか	一体化
いったん	一端,一反
いっち	一致
いっちょくせん	一直線
いってい	一定
いってき	一滴
いってん	一点
いっと	一途
いっとう	一等
いっぱ	一派
いっぱく	一泊,一白
いっぱん	一般
いっぱんじん	一般人
